소방서별(1),특수소방차_고가차,특수소방차_고가차_55m,특수소방차_고가차_52m,특수소방차_고가차_50m,특수소방차_고가차_46m,특수소방차_고가차_40m,특수소방차_고가차_32m,특수소방차_굴절차,특수소방차_굴절차_45m,특수소방차_굴절차_41m,특수소방차_굴절차_35m,특수소방차_굴절차_27m,특수소방차_굴절차_18.5m,특수소방차_방수탑차_22m,특수소방차_화학차,특수소방차_화학차_내폭,특수소방차_화학차_고성능,특수소방차_화학차_일반,특수소방차_배연차,특수소방차_구조공작차,특수소방차_제독차,특수소방차_화생방차,특수소방차_조명차·조연차,특수소방차_구조버스,특수소방차_펌프차,특수소방차_펌프차_대형,특수소방차_펌프차_중형,특수소방차_펌프차_소형,특수소방차_물탱크차,특수소방차_구급차,특수소방차_구급차_승합형,특수소방차_구급차_화물형,특수소방차_지휘차,특수소방차_재난지원차,특수소방차_홍보차,특수소방차_점검차,특수소방차_순찰차,특수소방차_화재조사차,특수소방차_굴삭기,특수소방차_견인차,특수소방차_미분무가스소방차,특수소방차_기타(이동체험이동정비),행정차_유조차,행정차_행정차_승용차,행정차_행정차_승합차,행정차_행정차_화물차,행정차_교육용차,기타차_이륜차,기타차_트레일러,기타차_헬기,기타차_소방구조정
소방본부,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,3,,1,,,1,,,,5,1,4,3,1,,,,2,
중부소방서,1,,1,,,,,1,,,1,,,,4,,2,2,,2,,,1,1,12,,9,3,4,11,11,,1,1,,2,1,1,,,,1,,1,1,1,,,,,2
남동소방서,2,,2,,,,,1,,,,1,,,2,,1,1,,2,,,1,1,7,1,2,4,4,8,8,,1,1,,2,1,1,,,,1,,1,1,1,,,,,
부평소방서,1,,,,1,,,1,,,,1,,,2,,1,1,,2,,,1,1,6,,5,1,5,9,9,,1,1,,2,1,1,1,,,1,,1,1,1,,,,,
서부소방서,2,1,1,,,,,2,,,1,,1,,4,,1,3,1,2,,,,1,11,,8,3,8,10,10,,1,1,1,2,2,1,,,,1,,1,1,1,,,,,2
공단소방서,2,,1,,1,,,1,,,1,,,1,2,,1,1,,2,,,1,1,7,2,5,,5,7,7,,1,1,,2,1,1,1,,,2,,1,1,1,,,,,
계양소방서,1,,1,,,,,1,,,,1,,,2,,1,1,1,2,,,1,1,5,,2,3,3,6,6,,1,1,,2,1,1,,,,3,,1,1,1,,,,,
미추홀소방서,1,,,,1,,,1,,,,,1,,3,,1,2,,2,,,,1,5,,4,1,4,8,8,,2,1,,2,1,1,,1,,1,,1,1,1,,,,,
강화소방서,1,,,,1,,,,,,,,,,2,,1,1,,5,,,,2,15,2,9,4,4,11,11,,1,1,,2,1,1,,,,1,,1,1,1,,,,,
영종소방서,1,,,,1,,,1,,,,1,,,2,,1,1,,2,,,,1,7,,6,1,4,9,9,,1,1,,2,2,1,,,,2,,1,1,1,,,,,
송도소방서,2,1,1,,,,,,,,,,,,2,,1,1,,2,,,1,2,4,,4,,4,5,5,,1,1,,1,1,1,,,,2,,1,1,1,,,,,
소방학교,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,2,2,,,1,,,,,,,,,,1,2,1,,,,,
